Interval Start,Internal CO2 (tonnes),Exported CO2 (tonnes),Imported CO2 (tonnes),Load,VRE,Total_CO2_Emissions,delta_Load,delta_VRE,delta_Total_CO2_Emissions
2025-11-17 23:00:00+00:00,3888.480673275,1011.9176938800001,302.95533793500005,5889.0,2554.0,3179.51831733,113.0,-689.0,394.920310125
2025-11-18 00:00:00+00:00,4269.2126100000005,1076.5800263100002,275.30706069,6094.0,2278.0,3467.93964438,205.0,-276.0,288.42132704999995
2025-11-18 01:00:00+00:00,4208.068341,1040.812443315,370.106986005,6272.0,2333.0,3537.3628836899998,178.0,55.0,69.42323930999964
2025-11-18 02:00:00+00:00,4281.4596075,1010.5551020099999,270.895420035,6199.0,2296.0,3541.799925525,-73.0,-37.0,4.4370418350004
2025-11-18 03:00:00+00:00,4111.0902645,1043.82701907,451.1068131,6101.0,2160.0,3518.3700585300003,-98.0,-136.0,-23.429866994999884
2025-11-18 04:00:00+00:00,4126.458885585,1118.63893728,466.11709611000003,5899.0,2141.0,3473.937044415,-202.0,-19.0,-44.43301411500033
2025-11-18 05:00:00+00:00,3974.5589219999997,1034.678058345,395.557153995,5694.0,2251.0,3335.4380176500003,-205.0,110.0,-138.4990267649996
2025-11-18 06:00:00+00:00,3596.36801046,940.4070218850001,428.413580325,5555.0,2177.0,3084.3745689,-139.0,-74.0,-251.06344875000013
2025-11-18 07:00:00+00:00,3263.28596586,793.62902481,508.85639583,5424.0,2082.0,2978.51333688,-131.0,-95.0,-105.86123201999999
2025-11-18 08:00:00+00:00,3649.8774105,975.9251290049999,422.63390469,5171.0,1979.0,3096.586186185,-253.0,-103.0,118.07284930499964
2025-11-18 09:00:00+00:00,3738.6001035000004,1025.907393765,367.456191435,5081.0,2048.0,3080.14890117,-90.0,69.0,-16.437285014999816
2025-11-18 10:00:00+00:00,3945.5290019999998,1162.407891975,296.69213269500005,5031.0,2034.0,3079.81324272,-50.0,-14.0,-0.33565845000021
2025-11-18 11:00:00+00:00,3970.567308,1047.521983575,291.327040605,5157.0,1957.0,3214.37236503,126.0,-77.0,134.55912231000002
2025-11-18 12:00:00+00:00,4067.0917919999997,971.8319102849999,243.516576735,5319.0,1896.0,3338.77645845,162.0,-61.0,124.40409342000021
2025-11-18 13:00:00+00:00,4273.929972,966.111201675,137.05841698499998,5686.0,2136.0,3444.87718731,367.0,240.0,106.10072885999989
2025-11-18 14:00:00+00:00,4501.8148439999995,894.70576314,60.823125510000004,5967.0,1935.0,3667.93220637,281.0,-201.0,223.05501906000018
2025-11-18 15:00:00+00:00,4603.963875,1099.757695875,55.1205606,6137.0,2200.0,3559.326739725,170.0,265.0,-108.60546664499998
2025-11-18 16:00:00+00:00,4429.1493255000005,1064.08808886,46.753593345,6157.0,2607.0,3411.814829985,20.0,407.0,-147.5119097400002
2025-11-18 17:00:00+00:00,4113.63763998,938.9074450800001,53.4694839,6104.0,2975.0,3228.1996788,-53.0,368.0,-183.61515118499983
2025-11-18 18:00:00+00:00,3938.0900850000003,847.6881789600001,88.048654545,6095.0,2973.0,3178.450560585,-9.0,-2.0,-49.74911821500018
